ID,Japanese,English,【問題文出典】英文表現力を豊かにする例解和文英訳教本 公式運用編　著：小倉 弘　／　ドラゴン・イングリッシュ　著：竹岡広信
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,"Please tell me,Will the fast train  arrive at Shizuoka from Tokyo 9am?",
79,最初トムは冗談を言っていると思ったが、後で本気だとわかった。,"I thought Tom said joking,after that he was thlious.",
97,健康を維持する秘訣は、バランスのとれた食事をし定期的に運動することです。,It is keeping health that having good meals and taking exasise useally.,
54,人によって考え方はまちまち。誰がどんな趣味を持っているのかはわからぬものだ。,I have know idea people`s thinking are valious that hobby as well.,
24,火災が発生してから30分後に消防隊が到着した。,Fire men came at burns place 30 minuts later.,
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,The plane has gone when we arrived at airport.,
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。, We have been living at hotel until finding some apart anyday.  ,
48,私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,"I have never ever no  accident,even thought I have taking car 30 yarys.",
40,この頃、天候が変わりやすい。,I think weather is changing reacentlly.,
74,図書館から昨日借りてきた小説を読み終えたので、今はすることがない。,I have nothing now even I already read nobel book yeasterday from librally.,
18,それは秘密にしておいた方が良い,It is better that is secret.,
92,本を読む量が減ったからといって、今の若者の知的欲求が少なくなったということにはならない。,"It is getting worse reading books, but it is no curious for young people.",
28,自分の故郷に少しも愛情を感じない人はめったにいません。,It is strang that no tenderlling own home.,
77,洪水や地震などの被災者を手助けするボランティアとして活動したい。,I want joying helping victims as vollunter.,
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"I will diside absent scool and stay home,it will be recove from cold couple of days.",
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Recentlly,It be abel to take abroad trips cheeply couse preousiou en.",
84,ヨーロッパ旅行中、どこの国に行っても多くの日本人旅行者に出会うのでうんざりしました。,I had sad that met many japanese tourlisets during Eourope trip.,
71,先日描いてもらった地図のおかげで、迷わずにここまで来ることができました。,I made it  for  your drawing  map.,
8,昨夜、急げば終電に間に合っていただろう。,"If I was hurr up, I made to ride on the last train last night.",
49,幼稚園児がこの通りの交差点でトラックにはねられているのを見て、ショックを受けた。,I had shocked to see the nursery kid had bump of truck this trrafic jam this street.,
44,東京の気候は私の故郷よりもはるかに穏やかだ。,It Tokyo is better climet than my home country.,
63,トムは万事うまくいくと言い張ったが、私は心配で仕方なかった。,I was worried about that even Tom has made job.,
86,学校は勉強だけを教えているところだと思うのは、学校の役割を理解していない証拠です。,It is no understand that schools upply for studys only.,
39,はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"You are better to stay here for miniuts,it heavy rain outside.",
32,母親のわが子に対する愛情ほど美しいものはない。,No beautiful even mothers love child.,
4,今朝からずっと待っているのに、彼はまだ現れない。,"I have waitting for him this morning,He doesn`t come.",
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,"If you want to pass exam of uni, you should be sutdy hard.",
100,日本の若者の10人のうち7人は、まったく無宗教だと言われる。,It say that no relligion for seven of ten for young people.,
99,英語を話せさえすれば国際人になれると勘違いしている日本人が多いのは残念だ。,I am worrid that could be speccilly even japanese people could speak English.,
59,ウィスキーのボトルを2本も空けて車を運転するのは危険だ。,It is very dengerous driving car after drinking 2 bottles vwisky.,
56,今までに私が読んだ多くの本の中で、今ちょうど読み終わった小説ほど感銘を受けた本はない。,no ambisious this nobel just mede to read even I have ever read books.,
42,今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,Shall we go to take hikking to Okutama if good weather next Sunday?,
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,This song make me remember to presious memory when we had stayed N.Y.,
61,列車で隣に座ったおばあさんに、どこまで行くのと尋ねられた。,"I was asked next grandmother,""Where are you going to?"" on the train.",
80,この前の日曜日、生まれて初めてイタリア料理に挑戦してみましたが、とってもおいしいものができました。,"I had tyring to make Itary first time this Sunday,I could make dellisiou.",
46,こんなに大雪になったのは20年ぶりだ。,It is heavy snow to become 20 years before.,
73,昨日は数学の予習に追われて4時まで起きていたので、とても眠い。,"I have studied mas until 4 o`clock,I am verry sllepy.",
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"No staying hollyday,to study coming here.",
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I`m thinking about to gone office,no deside yet.",
55,昨夜はあの探偵小説について夢中になって、午前2時まで夜ふかししてしまったよ。,"I have having over 2 o`clock, to make me fever reading scorrer novel last night.",
1,僕は朝食前に必ず30分ほど散歩することにしている。,I uselly taking walk about 30 min.before breakfast.,
90,プロ野球はテレビで見るより球場で見た方が100倍面白い。,It is very intersting 100 times to watch baseball studium than TV .,
50,もし彼がその電車に乗っていたら、事故に巻き込まれたでしょう。,"It shoud make accident,if he were to ride on that train.",
36,先日20年ぶりに帰省した。,I came to home until 20 years.,
62,大地震がいつどこで起こるのかは予測不可能だ。,It is noimpposibe to make big earthquork.,
95,いくら運動しても、カロリーを計算していないと減量は無理だよ。,"You can`t be diet,if you count collury.",
81,私はアンに遅刻したことを誤ったが、許してはくれなかった。,"I said to sorry to late to An,thought She was upset.",
33,沖縄ほど米軍基地が集中している県は日本には他にはない。,There is USA army in Okinawa even other pri in Japan.,
98,外国に行って初めて、日本の大都市のネオンの多さに気づく。,I was surpraise that japan`s city has many neon even gone to abroad.,
34,こんなすさまじい台風は生まれて始めてだ。,I`ve ever find heavy taihoon first time.,
