Japanese,English
こんなすさまじい台風は生まれて始めてだ。,It was the first time in my life that I had ever seen such a tremendous typhoon.
大臣は前言の撤回をせざるをえなかった。,The minister was obliged to retract his previous statement.
自分の故郷に少しも愛情を感じない人はめったにいません。,It's rare to find a person who doesn't feel a little love for his hometown.
こんなにいい天気は久しぶりですと地元の人が言っていた。,"It's been a long time since we've had such nice weather, said a local resident."
彼女を失ってはじめて、お金では買えないものがあることを知った。,Only after losing her did I realize that there are some things that money can't buy.
昨夜はあの探偵小説について夢中になって、午前2時まで夜ふかししてしまったよ。,Last night I was so absorbed in that detective novel that I stayed up until 2 a.m. I'm wearing glasses now.
今はめがねをかけていないので、あの標示に何と書いてあるのかわかりません。,"I don't have my glasses on now, so I don't know what that sign says."
人によって考え方はまちまち。誰がどんな趣味を持っているのかはわからぬものだ。,Different people have different ideas. You never know who has what hobby.
それは秘密にしておいた方が良い,It's better to keep that a secret.
カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.
一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, people become more and more generous as they get older."
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,"According to the weather forecast, the typhoon will approach the Kyushu region around midnight this evening."
こんなに大雪になったのは20年ぶりだ。,It's been 20 years since we've had such heavy snowfall.
先日20年ぶりに帰省した。,I went home the other day for the first time in 20 years.
外国に行って初めて、日本の大都市のネオンの多さに気づく。,It's only when you go abroad that you realize how much neon lights there are in Japan's big cities.
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,"This Sunday, if the weather is good, why don't we go hiking in Okutama?"
外はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"It's raining heavily outside, so you might want to stay here for a while longer."
私はおととしの夏、江ノ島に海水浴に行った。,I went to Enoshima Island for swimming the summer before last.
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Your success in college will depend on the amount of study you do over the next year.
この地に来たのはある調査をするためで、休日を過ごすためではない。,"The reason why I came here is to do some research, not to spend a holiday."
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked softly so that the baby would not wake up.
安売りがすべての消費者の利益になるとは限らない。,Not all cheap sales are in the best interest of the consumer.
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bride and groom are leaving for their honeymoon on the 5:30 express.
この二か月で内閣支持率を急上昇した。,"In the last two months, the cabinet's approval rating has skyrocketed."
日本の高校生の大半が、大学入試に備えるために塾に行く。,The majority of Japanese high school students go to cram schools to prepare for college entrance exams.
今年の冬は例年になく雪が多い。,There has been more snow than usual this winter.
沖縄ほど米軍基地が集中している県は日本には他にはない。,There is no other prefecture in Japan with such a high concentration of US military bases as Okinawa.
電車もバスもすし詰めで、ずっと立ちっぱなしだった。,"Trains and buses were packed, and I was on my feet the whole time."
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Can you tell me if the 9:00 a.m. bullet train will stop at Shizuoka?
昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I would have made it to the last train."
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the appreciation of the yen, it has become cheaper to travel abroad these days."
今までに私が読んだ多くの本の中で、今ちょうど読み終わった小説ほど感銘を受けた本はない。,"Of the many books I have read, none have impressed me as much as the novel I have just finished reading."
学校は勉強だけを教えているところだと思うのは、学校の役割を理解していない証拠です。,To think that school is a place where only learning is taught is proof that you do not understand the role of school.
