Japanese,English,Score,
僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,0.910160005092621,0.888148248195648
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.",0.949505567550659,
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.",0.841314315795898,
今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.",0.959496557712555,
カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,0.768300473690033,
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.",0.882173657417297,
お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.",0.932965934276581,
昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.
",0.868373095989227,
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,0.864400625228882,
新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,0.84731137752533,
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",0.941371977329254,
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.",0.923476099967956,
日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,0.967950701713562,
私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,0.830320715904236,
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,0.917751550674438,
この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,0.850567400455475,
朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,0.950333297252655,
それは秘密にしておいた方が良い,You should leave it unsaid.,0.767065525054931,
大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,0.680715680122376,
彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,0.746973991394043,
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.",0.868589758872986,
この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,0.903856575489044,
その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.",0.962897837162018,
火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,0.940046966075897,
ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,0.968997180461884,
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,0.846498966217041,
