Japanese,English,Score
大地震がいつどこで起こるのかは予測不可能だ。,It is noimpposibe to make big earthquork.,0.379040956497192
円高のおかげで、最近は海外旅行が安くできるようになった。,"Recentlly,It be abel to take abroad trips cheeply couse preousiou en.",0.427859872579575
母親のわが子に対する愛情ほど美しいものはない。,No beautiful even mothers love child.,0.460917830467224
自分の故郷に少しも愛情を感じない人はめったにいません。,It is strang that no tenderlling own home.,0.475363701581955
日本の若者の10人のうち7人は、まったく無宗教だと言われる。,It say that no relligion for seven of ten for young people.,0.524444580078125
洪水や地震などの被災者を手助けするボランティアとして活動したい。,I want joying helping victims as vollunter.,0.526604294776917
この前の日曜日、生まれて初めてイタリア料理に挑戦してみましたが、とってもおいしいものができました。,"I had tyring to make Itary first time this Sunday,I could make dellisiou.",0.54633355140686
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,"If you want to pass exam of uni, you should be sutdy hard.",0.54981005191803
今までに私が読んだ多くの本の中で、今ちょうど読み終わった小説ほど感銘を受けた本はない。,no ambisious this nobel just mede to read even I have ever read books.,0.551097452640533
昨日は数学の予習に追われて4時まで起きていたので、とても眠い。,"I have studied mas until 4 o`clock,I am verry sllepy.",0.58635276556015
いくら運動しても、カロリーを計算していないと減量は無理だよ。,"You can`t be diet,if you count collury.",0.628496885299683
トムは万事うまくいくと言い張ったが、私は心配で仕方なかった。,I was worried about that even Tom has made job.,0.631199479103088
こんなすさまじい台風は生まれて始めてだ。,I`ve ever find heavy taihoon first time.,0.632169783115387
この地に来たのはある調査をするためで、休日を過ごすためではない。,"No staying hollyday,to study coming here.",0.635376393795013
人によって考え方はまちまち。誰がどんな趣味を持っているのかはわからぬものだ。,I have know idea people`s thinking are valious that hobby as well.,0.640990614891052
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"I will diside absent scool and stay home,it will be recove from cold couple of days.",0.656544327735901
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I`m thinking about to gone office,no deside yet.",0.661513328552246
図書館から昨日借りてきた小説を読み終えたので、今はすることがない。,I have nothing now even I already read nobel book yeasterday from librally.,0.671441733837128
