Japanese,English,label,J-Escore,E-Escore
僕は朝食前に必ず30分ほど散歩することにしている。,I uselly taking walk about 30 min.before breakfast.,0,0.909771680831909,0.747008621692658
僕は朝食前に必ず30分ほど散歩することにしている。,I make it a rule to take a walk for about half an hour before breakfast.,111,0.891080796718597,0.794380724430084
僕は朝食前に必ず30分ほど散歩することにしている。,I always take a walk for 30 minutes before breakfast.,111,0.926733314990997,0.873550117015839
僕は朝食前に必ず30分ほど散歩することにしている。,I am always going to take a walk 30minutes before breakfast.,11,0.917413234710693,0.862707018852234
僕は朝食前に必ず30分ほど散歩することにしている。,I make it a rule to take a walk for half an hour before every breakfast.,101,0.902889370918274,0.812473654747009
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I`m thinking about to gone office,no deside yet.",0,0.661513328552246,0.531318247318268
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I haven't decided yet, but I'm thinking of quitting the company.",111,0.979253709316254,0.814410328865051
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I haven't decided yet, but I am thinking to quit my job.",11,0.90758228302002,0.742067337036133
まだ決めたわけではありませんが、会社を辞める事を考えています。,I don't dicided yet I am thinking of quit the company. ,0,0.945915460586548,0.77435028553009
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not yet decided, but I would like to leave the company.",110,0.894448161125183,0.82463538646698
この地に来たのはある調査をするためで、休日を過ごすためではない。,"No staying hollyday,to study coming here.",0,0.635376393795013,0.334879219532013
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I came here to do some reserch, not to spend holiday.",10,0.755379915237427,0.551474928855896
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I don't spend the holidays, I came here to do some research.",1,0.846329689025879,0.597764134407043
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I came here to do some research, not to spend my holidays.",111,0.866895020008087,0.657019257545471
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I came here not to live a holiday, the way to a search.",101,0.756599187850952,0.532580316066742
今朝からずっと待っているのに、彼はまだ現れない。,"I have waitting for him this morning,He doesn`t come.",100,0.936485052108765,0.823835372924805
今朝からずっと待っているのに、彼はまだ現れない。,"I have been waiting since this morning, but he has not shown up yet.",111,0.948038101196289,0.80593466758728
今朝からずっと待っているのに、彼はまだ現れない。,"I have been waiting since this morning, he has not turned up yet.",101,0.956418335437775,0.806529760360718
今朝からずっと待っているのに、彼はまだ現れない。,He has not appeared still even though I have waited from this morning.,111,0.889854907989502,0.750038266181946
今朝からずっと待っているのに、彼はまだ現れない。,"Although I wait him morning,he do not appear yet ",1,0.904038429260254,0.744044542312622
カナダでの生活は、案外お金がかからなかった。,I did't spend money that I thought  ,101,0.453738570213318,0.326724290847778
カナダでの生活は、案外お金がかからなかった。,Life in Canada was not as expensive as I thoght.,111,0.790852904319763,0.900316536426544
カナダでの生活は、案外お金がかからなかった。,Living in Canada didn't cost much than I had expected.,111,0.753067970275879,0.846861839294434
カナダでの生活は、案外お金がかからなかった。,I did not consume the money for Canadian life rather than I predicted before.,11,0.744228422641754,0.716307699680328
カナダでの生活は、案外お金がかからなかった。,Living in Canada do not cost money than I think.,101,0.670327186584473,0.856616735458374
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,The plane has gone when we arrived at airport.,1,0.709518671035767,0.795263469219208
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we arrived at the airport, the plane had already taken off.",111,0.950485229492188,0.841536164283752
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we arrived the airport, the aiplain have already taken off.",10,0.85319983959198,0.69233763217926
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When I arrived the airport, the flight had already taken off. ",11,0.912231802940369,0.800651133060455
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,The airplane have already departed when we arrived at the airport.,111,0.887133359909058,0.850983500480652
お金があれば、もう一泊するのだが。,"If I had money, I would stay one more night.",111,0.926298379898071,0.968695640563965
お金があれば、もう一泊するのだが。,"If I have money, I stay one more night.",1,0.874222159385681,0.92242830991745
お金があれば、もう一泊するのだが。,"If I have money, I would stay one more night.",11,0.93549382686615,0.948782324790955
お金があれば、もう一泊するのだが。,If I have money I will stay one more night.,1,0.868154346942902,0.914736032485962
お金があれば、もう一泊するのだが。,I would like to stay one more night if I have money.,111,0.87926185131073,0.896367073059082
昨夜、急げば終電に間に合っていただろう。,"If I was hurr up, I made to ride on the last train last night.",0,0.824472308158875,0.752563953399658
昨夜、急げば終電に間に合っていただろう。,I would be on time last night if I go hurrily.,100,0.730985164642334,0.530033826828003
昨夜、急げば終電に間に合っていただろう。,"Last night, if I had been in a rush, I could have caught the last train",111,0.851966261863709,0.945672929286957
昨夜、急げば終電に間に合っていただろう。,"Last night, if I harried up, I were able to take the train.",11,0.81422358751297,0.762255311012268
昨夜、急げば終電に間に合っていただろう。,I have riden by last train last night.,100,0.773810505867004,0.710167706012726
午前9時発の新幹線は静岡に停車するかどうか教えてください。,"Please tell me, Will the fast train arrive at Shizuoka from Tokyo 9am?",100,0.885107159614563,0.537690937519074
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.,111,0.867826640605927,0.827412843704224
午前9時発の新幹線は静岡に停車するかどうか教えてください。,I would like to know if the high speed train departing at 9am stop by Shizuoka.,111,0.884427905082703,0.544677972793579
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me if the Shinkansen departing at 9am will stop in Shizuoka.,11,0.887149333953857,0.823456883430481
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not ?,111,0.797435641288757,0.759235143661499
新郎新婦は、五時半の特急で新婚旅行に出かけます。,Bride and groom go honeymoon by express at 5:30.,111,0.869326829910278,0.889988899230957
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bride and har hasband take the 5:30 express train for their haneymoon.,110,0.821077287197113,0.571673035621643
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bloom and bride will be going to their honeymoon on the express train five thirty ,11,0.855948388576508,0.708703577518463
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bride and groom will go on their honeymoon on the express train at 5:30.,111,0.851101696491241,0.774434208869934
新郎新婦は、五時半の特急で新婚旅行に出かけます。,New merring men and women are leaving travel of marring by special train half to 5 o'clock.,110,0.639359891414642,0.490844666957855
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。, We have been living at hotel until finding some apart anyday.  ,0,0.759075105190277,0.715227603912354
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for long time, but will find an apartment after a while.",1,0.891002774238586,0.879662036895752
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We've been staying hotel for the time being, however we are planning to find a room for rent in the near future.",11,0.872950553894043,0.787329733371735
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We live in a hotel for a while, we would find an apartment.",101,0.909661531448364,0.879794120788574
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,We will find a manshon ,0,0.384114593267441,0.341050148010254
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"I will diside absent scool and stay home, it will be recove from cold couple of days.",0,0.648342430591583,0.548187136650085
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school, he will get over his cold in a few days.",111,0.937494277954102,0.984191238880158
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,He must recover from sick in a few days if he absents from school and stay in his house,10,0.754296660423279,0.64505660533905
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,If he will be absent from school to stay home. his cold is must be cured.,11,0.835737466812134,0.814253449440002
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he is absent from school and stays home, he must be able to get over his cold within a few days.",111,0.920575499534607,0.912138223648071
日本を訪れる外国人観光客は年々増えている。,Foreign tourist to visit Japan increase year by year.,11,0.970557332038879,0.842802166938782
日本を訪れる外国人観光客は年々増えている。,The number of foreigners visiting Japan is increasing year by year.,111,0.966616570949554,0.852096736431122
日本を訪れる外国人観光客は年々増えている。,The number of foreign tourists who visit Japan is increasing.,111,0.980848431587219,0.867425620555878
日本を訪れる外国人観光客は年々増えている。,The number of visitors from foreigen countries to Japan is increasing year by year.,110,0.922744631767273,0.749822080135345
日本を訪れる外国人観光客は年々増えている。,It is yearly incline that other country tourists visit Japan.,101,0.804993629455566,0.81592583656311
私はおととしの夏、江ノ島に海水浴に行った。,"I went to Enoshima for the swimming the summer before last,",111,0.833532571792602,0.951893270015717
私はおととしの夏、江ノ島に海水浴に行った。,I went to Enoshima for sea bathing in summer two years ago.,111,0.885380387306213,0.871101140975952
私はおととしの夏、江ノ島に海水浴に行った。,I went to Enoshima to swim in the summer before last year.,111,0.846156001091003,0.927326798439026
私はおととしの夏、江ノ島に海水浴に行った。,"In the summmer two years ago, I went bathing to Enoshima beach.",10,0.851341843605042,0.793092370033264
私はおととしの夏、江ノ島に海水浴に行った。,I went to swin at Enoshima the summer before last year.,110,0.704614639282227,0.782952606678009
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"These days, many people do most of their business with their cellphones.",101,0.925793051719666,0.858586311340332
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"In these days, a lot of people do every thing with cell phone.",0,0.865241587162018,0.828625380992889
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"These days, many people use their mobile phones to do most work they have to.",101,0.893143534660339,0.801448583602905
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"In these days, most of the things can be done by mobile phones.",1,0.920350432395935,0.679260492324829
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"Recently, many people do most of their work by using thier cellphone.",100,0.896492600440979,0.774867475032806
この二か月で内閣支持率を急上昇した。,The Cabinet's approval rating has soared sicce the past two months.,110,0.826377987861633,0.741433620452881
この二か月で内閣支持率を急上昇した。,Number of person agree with minister increased in this two month.,1,0.730394124984741,0.409485578536987
この二か月で内閣支持率を急上昇した。,"In the last two months, the rate of support for the government increased rapidly.",101,0.893283128738403,0.475173234939575
この二か月で内閣支持率を急上昇した。,The supportive rate for the government has surged in these two months.,101,0.840838193893433,0.468638062477112
この二か月で内閣支持率を急上昇した。,The rating of    is increased rapidly in this two months.,1,0.749326288700104,0.552008748054504
朝起きたら最初に何をしますか。,"What do you do first ,when you wake up the morning?",11,0.989456295967102,0.665136575698853
朝起きたら最初に何をしますか。,What do you do first when you get up.,111,0.957542300224304,0.909330129623413
朝起きたら最初に何をしますか。,What do you do first when you wake up in the morning?,111,0.986855983734131,0.646562278270721
朝起きたら最初に何をしますか。,What to do first in the morning.,101,0.934039056301117,0.537117779254913
朝起きたら最初に何をしますか。,What do you do first when you wake up in the morning?,111,0.986855983734131,0.646562278270721
それは秘密にしておいた方が良い,It is better that is secret.,111,0.835223078727722,0.278093755245209
それは秘密にしておいた方が良い,You had better keep it a secret.,111,0.952530741691589,0.469892144203186
それは秘密にしておいた方が良い,You had better keep it a secret.,111,0.952530741691589,0.469892144203186
それは秘密にしておいた方が良い,It's better to keep it a secret.,111,0.933487176895142,0.41006326675415
それは秘密にしておいた方が良い,It is better for you to keep it secret.,111,0.915977716445923,0.402204066514969
大臣は前言の撤回をせざるをえなかった。,The minister had no choice but to take back what he had said.,111,0.737015008926392,0.520941197872162
大臣は前言の撤回をせざるをえなかった。,The minister had to withdrae his comment.,110,0.873328745365143,0.456199765205383
大臣は前言の撤回をせざるをえなかった。,The minister had no way except taking back what he said.,11,0.683207869529724,0.506410002708435
大臣は前言の撤回をせざるをえなかった。,The minister had to admit what he said was wrong.,111,0.677541851997376,0.992942214012146
大臣は前言の撤回をせざるをえなかった。,The minister forced to cancel previous opinion.,1,0.823485732078552,0.534732103347778
彼女を失ってはじめて、お金では買えないものがあることを知った。,"After I lost her, I realized that there was something money couldn't buy for the first time.",111,0.919911861419678,0.786599695682526
彼女を失ってはじめて、お金では買えないものがあることを知った。,I knew there is a thing not to buy money to lose her.,101,0.766053438186646,0.531655550003052
彼女を失ってはじめて、お金では買えないものがあることを知った。,I noticed of that there is something that cannnot buy in the first time after breaking up with my girlfriend.,1,0.586098730564117,0.389715164899826
彼女を失ってはじめて、お金では買えないものがあることを知った。,"Only when I had lost her, I knew that there are things that I can't buy with money.",111,0.937353789806366,0.774732768535614
彼女を失ってはじめて、お金では買えないものがあることを知った。,I lost her and this was the first time for me to find out that there was cashless.,101,0.778562545776367,0.612220644950867
円高のおかげで、最近は海外旅行が安くできるようになった。,"Recentlly, It be abel to take abroad trips cheeply couse preousiou en.",0,0.43185418844223,0.330557644367218
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the increase of yen's value, we can travel abroad at a lower price.",11,0.888406455516815,0.864048957824707
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, you can enjoy traveling abroad in low prices recently.",11,0.876923799514771,0.838354587554931
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, it has become possible to travel abroad cheaply in these days.",11,0.882275462150574,0.83317482471466
円高のおかげで、最近は海外旅行が安くできるようになった。,"Recently, someone can go abroad to expensive yen.",101,0.667157113552094,0.716635942459106
この箱を運ぶのにちょっと手を貸していただけませんか。,Please help me to carry this box.,101,0.885688006877899,0.749926805496216
この箱を運ぶのにちょっと手を貸していただけませんか。,Could you help me carry yhis box.,100,0.786259412765503,0.712903141975403
この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand to bring this box.,11,0.945547103881836,0.947441577911377
この箱を運ぶのにちょっと手を貸していただけませんか。,Could you please help us to bring this box?,101,0.887404084205627,0.800694346427918
この箱を運ぶのにちょっと手を貸していただけませんか。,please help me to carrying the box.,1,0.861728608608246,0.722218871116638
その店で買い物をしていたら、旧友のジムに会いました。,"When I was shopping, I met old friend, Jim.",111,0.967543244361877,0.845334649085999
その店で買い物をしていたら、旧友のジムに会いました。,"While I went shopping at that store, I met an old friend,Jim.",111,0.980236887931824,0.832671880722046
その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping at that store, I met old friend Jim. ",111,0.97430145740509,0.85405683517456
その店で買い物をしていたら、旧友のジムに会いました。,"I met Jim who is my old friend, when I bought someone in it's store.",100,0.942735195159912,0.776468396186829
その店で買い物をしていたら、旧友のジムに会いました。,"When I was shopping this store, I met Jim of old friend.",111,0.977539300918579,0.79134202003479
火災が発生してから30分後に消防隊が到着した。,Fire men came at burns place 30 minuts later.,0,0.89898407459259,0.522058963775635
火災が発生してから30分後に消防隊が到着した。,Firefighters arrived 30 minutes after the fire accident broke out.,111,0.944974064826965,0.833158493041992
火災が発生してから30分後に消防隊が到着した。,The firefighters arrived after the fire got started.,101,0.782223165035248,0.669028162956238
火災が発生してから30分後に消防隊が到着した。,Firemen reached 30 minitues after the fire happened.,110,0.856911301612854,0.661889672279358
火災が発生してから30分後に消防隊が到着した。,it have arrived at 30 minutes later since causing  fire.,0,0.795060753822327,0.707464337348938
ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr.White worked hard to feed his four family.,110,0.950681090354919,0.873564958572388
