ID,Japanese,Correct,English,label
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I uselly taking walk about 30 min.before breakfast.,000
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I make it a rule to take a walk for about half an hour before breakfast.,111
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I always take a walk for 30 minutes before breakfast.,111
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I am always going to take a walk 30minutes before breakfast.,011
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I make it a rule to take a walk for half an hour before every breakfast.,101
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.","I`m thinking about to gone office,no deside yet.",000
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I'm thinking of quitting the company.",111
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am thinking to quit my job.",011
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.",I don't dicided yet I am thinking of quit the company. ,000
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.","I have not yet decided, but I would like to leave the company.",110
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","No staying hollyday,to study coming here.",000
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","I came here to do some reserch, not to spend holiday.",010
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","I don't spend the holidays, I came here to do some research.",001
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend my holidays.",111
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","I came here not to live a holiday, the way to a search.",101
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.","I have waitting for him this morning,He doesn`t come.",100
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.","I have been waiting since this morning, but he has not shown up yet.",111
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.","I have been waiting since this morning, he has not turned up yet.",101
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.",He has not appeared still even though I have waited from this morning.,111
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.","Although I wait him morning,he do not appear yet ",001
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,I did't spend money that I thought  ,101
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as I thoght.,111
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,Living in Canada didn't cost much than I had expected.,111
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,I did not consume the money for Canadian life rather than I predicted before.,011
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,Living in Canada do not cost money than I think.,101
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.",The plane has gone when we arrived at airport.,001
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",111
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.","When we arrived the airport, the aiplain have already taken off.",010
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.","When I arrived the airport, the flight had already taken off. ",011
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.",The airplane have already departed when we arrived at the airport.,111
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.","If I had money, I would stay one more night.",111
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.","If I have money, I stay one more night.",001
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.","If I have money, I would stay one more night.",011
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.",If I have money I will stay one more night.,001
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.",I would like to stay one more night if I have money.,111
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.
","If I was hurr up, I made to ride on the last train last night.",000
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.
",I would be on time last night if I go hurrily.,100
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.
","Last night, if I had been in a rush, I could have caught the last train",111
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.
","Last night, if I harried up, I were able to take the train.",011
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.
",I have riden by last train last night.,100
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"Please tell me, Will the fast train arrive at Shizuoka from Tokyo 9am?",100
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.,111
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,I would like to know if the high speed train departing at 9am stop by Shizuoka.,111
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,Could you tell me if the Shinkansen departing at 9am will stop in Shizuoka.,011
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not ?,111
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,Bride and groom go honeymoon by express at 5:30.,111
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and har hasband take the 5:30 express train for their haneymoon.,110
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bloom and bride will be going to their honeymoon on the express train five thirty ,011
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom will go on their honeymoon on the express train at 5:30.,111
